jurisdiction_of_occurrence,non_covid_excess_upto_03/07/2020_per_100k,non_covid_excess_upto_03/14/2020_per_100k,non_covid_excess_upto_03/21/2020_per_100k,non_covid_excess_upto_03/28/2020_per_100k,non_covid_excess_upto_04/04/2020_per_100k,non_covid_excess_upto_04/11/2020_per_100k,non_covid_excess_upto_04/18/2020_per_100k,non_covid_excess_upto_04/25/2020_per_100k,non_covid_excess_upto_05/02/2020_per_100k,non_covid_excess_upto_05/09/2020_per_100k,non_covid_excess_upto_05/16/2020_per_100k,non_covid_excess_upto_05/23/2020_per_100k,non_covid_excess_upto_05/30/2020_per_100k,non_covid_excess_upto_06/06/2020_per_100k,non_covid_excess_upto_06/13/2020_per_100k,non_covid_excess_upto_06/20/2020_per_100k,non_covid_excess_upto_06/27/2020_per_100k,non_covid_excess_upto_07/04/2020_per_100k,non_covid_excess_upto_07/11/2020_per_100k,non_covid_excess_upto_07/18/2020_per_100k,non_covid_excess_upto_07/25/2020_per_100k,non_covid_excess_upto_08/01/2020_per_100k
Kentucky,0.6060845593167759,1.100909861969057,2.668903769408878,2.499357218289122,2.3846916592332583,3.9409796461061015,4.654673089472429,3.8014616643055676,3.6583267849250065,4.891233029132218,5.989747482643404,7.258991215829773,9.009049088604478,11.118640575570332,10.969513082355064,12.499111852230225,14.169190478128847,14.921284344591664,16.549405864427644,19.35193397698297,19.934516529204885,21.009619141582117
Louisiana,2.300819961967361,4.024701203382295,6.158008528232164,6.570726600911755,10.024634278277182,12.747097681705842,17.906505523372275,20.80225729214894,22.05246675716993,23.743174268861964,24.588101896369544,26.70931568733451,29.13918161883778,31.47478703048634,32.42305339539848,33.54903954456445,35.882778331815125,37.79666850875631,39.477005524469185,41.27912488567061,44.18687863273542,47.33875165439524
Maine,0.6219262250857738,1.3834093691516625,1.7164245676032455,0.6683524759410162,-0.7550849600257412,-0.4665112803567702,-0.7131788019950491,1.357509633883622,0.1495616852186683,-0.014940905465643667,1.6997296361731518,0.8116157106080645,0.3824069831439864,2.7579536878686612,2.9485798125606872,2.4508069855539922,3.215772646567138,5.736219454040674,6.559145156153365,8.635176775800778,10.798634201076487,12.473720663722439
Maryland,1.6681287250798855,2.72388149221673,3.347505816161315,4.854066260624398,6.572554608250329,8.773752245505055,11.971749348034908,14.188598289046386,18.15913400828911,21.362739986585236,23.92967282262365,26.771668577551345,29.235665392385563,31.095775572826586,31.733129389603135,32.674124842006975,33.70712445485537,34.02119422780465,35.04289781061645,36.3706027505541,37.422728582524655,38.19144511744254
Massachusetts,0.6571966902715475,0.49979653724005824,2.4241207261714615,2.41076443857147,2.6391664663620498,4.506154930243655,7.9851880422836725,12.183998187835998,15.401192057355651,16.759429946854674,17.831939743076845,18.81077229978756,18.842299073532182,17.603270637779133,16.69811579343347,15.224209296308025,14.500683663417645,13.660734510538605,12.296524137264269,11.562297910557769,11.476626390652047,11.563280177828235
Michigan,-0.14707989150138948,-0.027579752427526444,0.17498721877011306,1.317370050993568,4.426498108245887,9.71976445221184,15.155569130909736,19.00082166535042,21.067159844906154,23.096298458174715,23.279544009026257,24.45664177455249,24.905198013919613,25.277445963316865,26.599197509480458,26.761082312767964,27.566337025379532,28.906498430550148,30.793087675310503,32.04544133845096,32.80837609917798,34.353573976351065
Minnesota,0.8339941185855085,1.9095275866927617,2.360230434568641,2.7795003400161122,3.3780310951271946,3.842576965345633,3.6833048003123823,4.065268389513909,4.966796795409634,5.964122692454042,7.1291955051235405,7.7319085838042465,8.464333143538417,9.858854212537791,11.856737576457745,13.71325379195871,15.40780538538257,15.289110581300092,16.15649218369448,16.798364813886714,17.66531099045476,18.365867181934185
Mississippi,1.3952211937989367,2.3747647499698,2.21803530156084,2.4369608269488756,5.475532891386415,6.655655232456847,7.994658017916741,11.059663609844769,14.641892989359931,16.54558844645017,19.060607620874464,22.105694974035792,23.893044933891534,25.883394100516554,27.78643790556495,29.527715378609997,33.229268004427716,36.27249349461234,37.95252676097592,40.62884680165938,43.85943431299833,49.52861521865202
Missouri,1.077406734366373,2.489990410671703,2.711610063582876,2.27424467653825,3.6046223163089612,3.8079950711047816,6.012275375847862,6.424100427976286,8.180624543777606,8.984013483650662,11.494896195925767,13.069631340856688,13.60251772563386,13.955936746705891,14.776768241679203,15.596145802512703,16.073534024513105,16.717719256758354,17.456649564400326,18.297397646240796,20.318435045973665,21.50256074348795
Montana,3.12324791523384,3.9086553013149294,5.4793732182900055,7.52887988068095,8.968296129160146,6.512499215548359,7.877051729829429,6.712126216302136,6.010516805334825,6.918544799666367,5.41453800338936,6.435166600241253,5.478355437338955,5.436876998637871,4.197757223654783,7.245196665873008,8.486518569457306,9.594589856614734,7.41013681053615,7.295408849196758,7.633976984687254,8.511669695753344
