jurisdiction_of_occurrence,all_causes_excess_upto_03/07/2020_per_100k,all_causes_excess_upto_03/14/2020_per_100k,all_causes_excess_upto_03/21/2020_per_100k,all_causes_excess_upto_03/28/2020_per_100k,all_causes_excess_upto_04/04/2020_per_100k,all_causes_excess_upto_04/11/2020_per_100k,all_causes_excess_upto_04/18/2020_per_100k,all_causes_excess_upto_04/25/2020_per_100k,all_causes_excess_upto_05/02/2020_per_100k,all_causes_excess_upto_05/09/2020_per_100k,all_causes_excess_upto_05/16/2020_per_100k,all_causes_excess_upto_05/23/2020_per_100k,all_causes_excess_upto_05/30/2020_per_100k,all_causes_excess_upto_06/06/2020_per_100k,all_causes_excess_upto_06/13/2020_per_100k,all_causes_excess_upto_06/20/2020_per_100k,all_causes_excess_upto_06/27/2020_per_100k,all_causes_excess_upto_07/04/2020_per_100k,all_causes_excess_upto_07/11/2020_per_100k,all_causes_excess_upto_07/18/2020_per_100k,all_causes_excess_upto_07/25/2020_per_100k,all_causes_excess_upto_08/01/2020_per_100k
Idaho,-0.08430124902220375,-0.29286742219932815,-0.3474616871988333,0.2960400437207873,3.9474936812113084,2.9630004681564492,4.344535418313313,4.171251861216757,4.045385918180063,2.684641638230726,4.920641118099986,4.429675372284551,3.3513306649735215,3.8158081109303703,4.821445217130782,6.013019197153412,6.750157843384928,8.340562706521014,9.161461251707035,10.585897852679963,13.863358404897905,18.047784866014197
Illinois,0.8239616416993729,2.0061130628590282,2.999740850905986,4.359004379520388,6.216001705513553,10.665629235868458,17.253960870746432,24.457199451543254,32.72021942029794,40.336033625612494,48.58684829405601,55.82161006510698,61.383774366968154,66.33605344785539,71.07314570765588,74.33435764622176,77.15759156755742,79.25929877713494,81.51753610024743,83.93136618696293,85.5244776098021,86.81986629229272
Indiana,1.4747653757607986,1.8690826538545777,2.874042063467737,3.082556974985957,5.374401485742181,9.479132231109753,14.419870023567864,17.896180533544033,23.34017804944469,27.61252868651982,32.720293479044685,38.26415865501261,41.76469712679264,44.864960538987745,47.486228164602686,50.6057159347133,53.26621368844492,55.838549069339116,58.03020214450135,60.526120737522604,63.03392881574243,65.08600778160769
Iowa,1.3070365571737008,2.183711882191978,2.9884280877943663,2.6653356204221703,3.062728030723497,3.4768759620381284,3.829204336592743,5.984919273944778,6.065047409852626,9.112865733583597,13.927575668060873,17.816288527754704,20.171999039131407,22.965226435294902,24.693564050516017,25.760792129073053,26.88165332707241,27.025240049286396,28.888298628059577,29.546161288667207,32.17304125400434,35.05341281163676
Kansas,0.4362856906362379,1.7581544970328595,1.4806400542069555,0.8941676502899211,1.028995216741232,2.365455160500984,3.3246839125802983,5.513218874420058,7.6125838148683,9.0459964498522,9.359949706104391,11.37036460632611,13.161274399774639,14.718905021985407,15.00556155635416,16.501098897891847,17.385340229493494,18.74323120402759,21.323085680819496,22.166193374311707,23.290648048204478,25.768029827350997
Kentucky,0.6060845593167759,1.100909861969057,2.668903769408878,2.499357218289122,2.3846916592332583,4.9929814376427695,6.892974773593,7.3155953083748635,8.604973506831467,10.889881542575347,13.331377006558876,15.675005548123119,18.454682195593286,21.437211339366165,22.138638486116715,24.58594094648131,26.793211976568866,28.28394539879147,30.516408373340006,34.035193024813914,35.311649099113204,37.28207238513866
Louisiana,2.300819961967361,4.024701203382295,6.158008528232164,7.431164813489038,14.714022536823377,25.374028451277475,39.804658033464136,50.83155091109613,58.79317843421993,65.92615764046329,71.58953925840366,77.13099494436332,81.94857691576856,86.56434359074692,89.64219453178784,92.23092564233518,96.17798607816826,99.5331102611764,102.80525797015726,106.95207146063179,112.84984799640266,120.32542303626333
Maine,0.6219262250857738,1.3834093691516625,1.7164245676032455,0.6683524759410162,-0.7550849600257412,-0.4665112803567702,0.17953752548900842,2.9941562342710606,3.1252827768321936,2.9607801861478817,4.675450727786677,3.7873368022215894,3.3581280747575115,6.7007841342565815,6.891410258948608,6.393637431941913,7.158603092955059,9.679049900428595,10.501975602541286,12.578007222188699,14.741464647464408,16.41655111011036
Maryland,1.6681287250798855,2.72388149221673,3.347505816161315,4.854066260624398,6.870287865716818,10.444366634622575,16.917429569283804,23.798766210603603,33.74050781570202,43.54386766783863,52.47898406635472,61.20948202450852,68.22218138396964,74.3663423246229,78.51033228489365,82.29633441975504,85.21497799655786,87.21620289515059,89.44538024435427,91.76552937584688,93.69431424369098,95.45547497016382
Massachusetts,0.6571966902715475,0.49979653724005824,2.4241207261714615,2.41076443857147,3.3065582687305075,8.336403535140889,20.709157839612743,40.185436852425624,60.595223891654456,77.40503285772755,91.49168280013464,103.17780122962625,110.23145044568247,114.12843718467798,116.31359655564712,117.10301877959732,117.96092154797132,118.16558565097334,117.52680114983863,117.40193265572942,117.69348258933631,118.1573578300251
Michigan,-0.14707989150138948,-0.027579752427526444,0.17498721877011306,1.4875937760353903,6.829656579424557,18.631477116166074,33.2994155883087,46.41685455738042,55.73272079165847,63.30915020923113,67.60780464197614,71.3883240846126,73.88957818477817,75.74377385806893,78.13693355596635,78.94967377853142,80.23556018537872,81.9061558803364,84.11316625458724,85.6859410472182,86.69920481535965,88.48471853965061
Minnesota,0.8339941185855085,1.9095275866927617,2.360230434568641,2.7795003400161122,3.5730792826685094,4.445453181382424,5.08410541992728,6.83140632191801,10.162171245373745,13.73058688728094,17.608602672115996,20.60508896153102,24.068188146843596,27.96287234705437,32.3013339614701,35.52318748976027,38.175248367477856,38.69489308625786,40.16515090468904,41.2680465236153,42.70240560939444,43.88171644302073
Mississippi,1.3952211937989367,2.3747647499698,2.21803530156084,2.4369608269488756,5.979539915228299,8.873286137361138,12.22831701818857,17.242149768971885,22.87400771211071,27.86894624876451,32.97120147891047,39.309134721172114,44.187727760591414,49.43732234806062,53.994803145342935,57.92011105503615,63.83929458575816,68.76414629828582,73.16581749339558,79.37018670097223,86.53202899827788,97.07327780106978
Missouri,1.077406734366373,2.489990410671703,2.711610063582876,2.27424467653825,3.897904779255981,4.948537982565413,8.700697952862207,10.578935319725728,14.372143205992462,16.984107334038804,21.31985870465092,24.246951873170875,25.87150075891751,27.104767168830598,28.691391761498906,30.12992118855389,31.161287396120883,32.375744084096446,33.63606543697756,35.0144980342209,37.719861180830144,40.060823259968785
Montana,3.12324791523384,3.9086553013149294,5.4793732182900055,7.52887988068095,8.968296129160146,6.512499215548359,7.877051729829429,6.712126216302136,6.010516805334825,6.918544799666367,5.41453800338936,6.435166600241253,5.478355437338955,5.436876998637871,4.197757223654783,7.245196665873008,8.486518569457306,9.594589856614734,7.41013681053615,7.295408849196758,7.633976984687254,9.63444729783722
Nebraska,-0.28709521747569056,0.17043759241454598,-0.23263695216749547,1.5020097692264192,0.4994827891503535,-1.1812459680911405,-0.9784411006436335,0.765045073375533,2.6756703955407817,3.483819093639876,4.838383511481499,6.718205824747317,8.955876734713359,12.348525403119094,12.502042624460824,12.948588936436154,16.228471766003295,16.17360063354038,15.58248982751618,15.956983924933523,17.61153999132223,20.230364367596486
Nevada,0.013468480502596792,0.23148415114240797,-0.5362485885007,-0.7238089884908314,0.6029161977414697,3.2770626568095667,5.856165805111804,6.869843264502821,8.431909291184901,10.472710181340759,12.120054436581832,13.708513412879771,15.702882907363419,17.546534115462695,19.933022454638074,21.413328562405656,22.196373888363468,23.763483069617894,25.15059193848529,29.493782082065245,34.69234880191997,40.51163337332916
New Hampshire,-0.6781972092477452,0.7558872986017605,1.4201289180124461,2.388329226272467,4.4357232895009915,4.130605019883824,7.505602481202079,7.382302054956025,10.33937900931951,12.456525436087063,16.84126112597449,21.794167966777053,25.51164455669101,27.40090578572608,31.287261126715798,38.03934458001762,38.437812674707246,40.53476993170414,42.33691491560035,44.61316156493723,44.30458589439145,47.47441577877902
New Jersey,0.8486555791943677,0.8528733817602735,0.9676150777252791,2.262179581438451,10.082412387781208,33.038497760866846,70.77033716932465,108.26358926939847,137.60359543525493,158.008851332308,172.11395925182094,182.85511703688695,189.53867299907327,194.25429352587457,196.96583365411863,198.63486802197156,199.74558627188398,200.97780639460768,201.61099939617296,202.33891046676703,202.4408610096131,203.04946206320815
New Mexico,0.8113968155445023,1.7948403417709555,-0.11245240213857155,0.795423145953154,0.6257199731326576,2.22108452103111,4.3220341319232976,7.501858457723985,10.281536452596399,13.442045093518468,17.719461668031066,24.249511335374006,27.546426072596812,31.499563369853465,36.50230277916309,41.04744726213792,45.0886017516529,47.94594125342326,53.3030300776113,55.88278444478838,58.83620391172249,63.125371857437614
New York,0.6906074830696155,0.8921001625409746,1.3377693529396717,3.9627073810354103,16.040178960808525,52.50931384349609,101.3806854015669,139.5512072811435,164.8386386586896,180.81464555982765,191.465532583839,198.20609148661478,201.78299704964203,204.81689715315102,206.52451434939132,207.62237588625933,208.1722532931713,209.50631847365207,209.86888516106407,210.86305704609208,211.15612302433445,211.59878478533193
North Carolina,-0.010971182155372194,0.6233450151295599,1.9397234442037523,3.3749936968308947,3.2938856369946894,4.827157607154974,6.381157489891468,8.813964712260447,12.227554939042102,13.467204395272175,16.121960902012756,19.112587804207763,21.903109777866366,24.21018585726012,25.988378401802407,27.0069105227113,28.602578807638665,30.030810277450357,31.628384439279444,32.69318352709634,32.156869183329654,28.01629989596571
North Dakota,2.131159041097652,6.201451150964225,7.993655200881191,9.149686212890328,6.422816508441581,4.812970150554141,7.415234017486606,9.991994833272255,13.175717972682875,14.809342221014889,15.815135673495154,18.158661365823416,19.27110160181099,20.407191057377364,23.615490332150795,24.989449490094596,26.893861818222923,26.878155718241086,25.397202122677164,26.54070690451561,28.108018073031268,28.383968525072518
Ohio,-0.10024629035872894,-0.0009146202768810369,1.1594726976244174,1.835113902346467,2.5676286051547144,3.2970668121395805,4.903534212431031,7.496124719083563,12.17075046329899,15.86809585953165,18.523251914862847,22.54274028876598,26.298517634296687,29.08148548567543,32.10636091856883,33.86905089322851,35.284022835750335,37.029677065232924,39.271148991950334,41.19519616803631,44.08967558867205,46.60572316120954
Oklahoma,-0.5499764043818837,-1.4358952431934036,-1.6855266213085323,-0.887912042250066,1.817765413936943,2.755342159947645,5.278566689084752,6.683065898554522,6.666016930939087,5.261468549931874,6.839798642874458,6.574342140353568,8.895107277967497,9.828243320468621,12.045778115873636,13.208968372271508,14.188337104322887,15.702725827220203,17.39801883269797,18.423595071573693,20.306271483677687,25.293694579117073
Oregon,-0.3516802337931891,0.2578239685773604,0.114685459924393,1.0411994420709858,2.1692990939951615,3.486064255807074,4.628692445071721,5.467735846582027,7.205024402542309,7.392320665687085,7.187551896177521,7.630004489275065,8.799782019176572,10.252763289448081,10.634894642546199,11.483940805638554,12.11889209014028,12.128629150298142,14.351922256208113,14.613375702450812,16.577679296891567,18.095842366370942
Pennsylvania,-0.37251724556271126,-0.7137446405842545,-0.3579421813886799,-1.5049123974014211,-1.3143783831284674,1.405768151929845,7.415870048093113,15.996166111376425,25.725193849541725,33.892302834181436,41.372280481205514,47.56026244970746,51.01724249455369,53.702973276461414,55.401041987950464,56.13684837385945,57.60405682787665,58.28201882208755,59.641458349999894,61.855640352245445,62.97612732895446,64.11397284904919
Puerto Rico,1.6375310880826512,3.8260069181439285,5.249629641894462,7.721229194851759,11.454384365484321,13.043794339201423,15.316176137376749,17.010962956733817,17.694970305822935,18.564493614542663,19.9253046143775,20.162143158465906,20.580683750597558,21.89944760804348,23.710676287667084,23.988102324682185,25.918409645097114,25.97590040326742,25.642677589976426,26.71523256506548,28.511770635138937,30.52424175580604
Rhode Island,2.452400434916691,5.979476050843983,5.242452856368505,6.052087481494248,6.392782067978885,9.072000396914657,13.451877524751424,19.888610111859713,28.590859364202988,39.93507041767268,57.87192432330498,66.8004209821768,75.27946542794105,82.96873573832067,87.48198504494262,89.88295801564198,93.94390267170367,95.49473640544937,94.38316970005091,94.5367826935709,94.02809869308926,92.99296198985016
South Carolina,1.0051125685708249,3.687522418937932,5.906270374226441,7.81618995749929,9.075721597979289,10.783920715914782,14.627015856222569,17.127421158857416,19.035210711540486,21.36477335623544,24.266045072879592,27.72066855111525,30.26338199387192,32.94004743070947,35.51410831595975,38.932285616412024,41.562164707057235,45.52612111322791,50.99064503189601,57.46601885664955,66.27654996578326,74.81573874695907
South Dakota,-0.41150035787624867,2.152828468441001,2.4479867791860794,2.0153347547139657,1.3766257432992117,1.8482769588325683,-0.09981094985084304,-1.1804392727045006,2.314358345161161,2.254710953324335,5.394015819139895,5.518827953580906,7.038758495211177,8.774532538278985,7.727795133058565,8.587010125269918,11.048087561081376,12.772942246117148,13.86187283434055,15.688846066344976,17.239027739597805,19.49882081801444
Tennessee,0.10880609886970304,1.9779173048288876,3.8829565276746165,5.0253018251823685,6.100132150385984,8.031372157978506,9.21288788308606,11.282401132961331,12.184443890345985,13.619389762207577,15.037757659238075,17.51732922471272,20.282388235847883,21.51353435018587,22.61399069442332,24.743227486933616,27.688814614886656,30.739518148499037,32.79130300515609,36.36068428281998,40.680575227052366,45.62813015201446
Texas,0.03026345997666005,-0.0024873822803691617,0.33506440909073726,1.0921790582386286,2.1358096335959713,3.1246879521976023,4.345500887601275,5.870940892261672,7.951004293876662,9.33645040340683,11.05803073331057,12.713975044564053,14.369949015108407,15.676630751044923,17.10661134380741,19.311935619182357,21.905216017406,24.776101922325523,29.168860401798412,36.14937899937587,44.76745319836525,53.395644867558445
Utah,0.0631959559525548,0.20801478441419113,1.048118513098614,1.663149598971231,2.5863816411938387,3.5200611434847784,3.5146860734469003,3.5091755048730606,5.293271581715016,5.800290147835798,5.857569923940854,7.029238417026287,6.876559789144662,7.332740911683984,8.408635740320465,9.281436834569494,10.469318511901271,11.139853820112144,13.772454534868128,15.546795601455086,17.604754329517363,20.342883718977298
Vermont,4.079860601665037,2.3915523900543207,5.190253412452694,11.161854562778684,10.04943230535051,13.872429290599515,14.908112487277775,17.57775831275494,18.10029610606678,19.26262406330857,20.329095705929245,21.972450724673568,21.72473014271768,26.380726054050534,29.851086226757477,29.12283729426961,26.59953531269283,30.742385820659266,27.226075033144824,31.721645472148406,29.165975793222458,31.546140949449146
Virginia,-0.08009599854284637,1.0501313689027472,2.161644915257729,3.2143618405557874,5.385922651160747,7.049761295251374,10.704933552158518,14.324502482520131,18.67404228486412,23.01683577185413,26.949676809456406,30.71736732527408,33.434466260426476,35.782297832245696,37.798143475733646,40.00166575791847,40.73204320824304,43.51875590845813,45.477595364996326,48.33922824108474,50.41003788089085,53.21567550088675
Washington,-0.5319946567819862,-0.051691373640077254,0.0935311864544717,0.4871906419698807,2.7671317808255513,5.012873487406392,7.493993644180929,9.312271402741855,11.58064949871607,12.040248828523577,13.462524011216036,14.055435308826619,15.119224612842979,14.82475672905265,14.61747501985394,15.306376409751707,16.40619754114599,16.725613421513835,17.417094907687545,18.59791525008287,20.25784884431663,21.934363502902837
West Virginia,1.0015269059461551,3.2887478689257827,4.918158618380205,6.325145788226917,8.143000001405534,8.535372353880769,10.78629600979203,7.867990176915842,8.516185588379125,10.042105841232006,11.6475722817762,15.43170844658963,17.195303104896375,16.80301107483779,15.717575681805709,17.683900472062735,18.065842786792206,20.75678210416292,20.68982351381042,21.705248212037958,23.465172645595068,26.974948221941563
Wisconsin,3.961721117703594,6.215691228414288,7.621060605127674,8.901246496478368,11.359622801609882,14.840177386607575,16.892201208226208,19.370924067292016,19.95826578316383,22.819231951496818,24.372012677662898,25.294749513673768,27.189927030808494,30.44688427467164,32.279449637498274,34.11370817946504,36.67462302058461,37.903807638338286,40.1417582084728,41.708004504378515,43.6275733922823,47.57550592046942
Wyoming,2.20151395667212,-0.3950998070206304,-1.54262215613977,2.6668171915851353,2.622819276655713,8.901619501321495,12.205984391289592,12.506879955850318,16.73794478445372,13.961139020737841,13.294177639866177,15.702897084589887,17.901717037687032,18.371355087077234,22.331758439059726,24.840376372893633,26.17662587681854,27.06269540499315,30.263794301382326,33.77603818029575,36.76993158863334,38.45107457204839
